0;경제와 관련되어 있는 요소입니다.
1;은행 요소는 [Bank Accounts]를 만들고, 관리하는 곳에 포함되어 있습니다. 주민들은 자신만의 계좌를 만들거나 다른 이들과 서로 공유 할 수 있습니다. 계좌는 [Titles]와 [Demographics]에도 지정 할 수 있습니다.
2;은행 이용자는 계좌를 통해 거래(화폐를 입금 또는 송금)를 할 수 있습니다.
계좌 관리자는 이용자의 목록과 관리자의 목록을 관리하며, 계좌의 이름을 바꾸거나, 거래를 주관할 수 있습니다.

이후 설정을 통하여, 정부의 회계장부를 개설할 수 있습니다. 해당 계좌는 세금을 걷거나 사용하는 데 쓰이며, 세금 징수에서 제외되고, 개개인의 재산 조회의 대상이 되지 않습니다. 해당 계좌를 개설하려면, [Elected Title|Elected Titles]를 가진, 정부의 은행 업무 권한이 있는 플레이어여야만 합니다.
3;은행 요소는 은행 계좌를 생성하고 관리하는 것에 포함되어 있습니다
4;계약 게시판 요소는 주민들이 [Contracts]과 [Work Parties]를 구할 수 있게 해 주고, 필요한 노동력의 확보와 주민들 간의 합의를 할 수 있게 도와주는 것을 도와줍니다.
5;계약 시작하기
6;계약을 게시할 때, 최소 한가지의 조항은 필수로 들어가야만 하는데, 각각의 조항으로 어떤 작업을 필요로 하는지 구상할 수 있습니다. 이후 계약이 마무리되었다고 판단하기 전, 각 조항의 항목은 조건에 만족하는 상태가 되어야 합니다.

'자동 완료' 기능에 체크가 되어있다면, 시스템이 계약의 완료 여부를 자동으로 판단합니다. 예를 들어, 계약의 내용이 두 지점을 도로로 연결하는 것이고, 계약자가 화면의 오른쪽 계약 아이콘을 통해 계약 창을 열어 '계약 완료함' 버튼을 누르게 된다면, 해당 작업의 완성 여부를 자동으로 판단하게 되는 겁니다. 조건에 부합하여 완료했다면, 계약금은 미리 설정해둔 계약에 따라 계약자에게 지급이 되고 해당 계약은 자동으로 종료됩니다.

'직접 작성'기능은 플레이어 자신이 직접 필요한 작업을 작성하는 특별한 조항입니다. 만약 계약에 해당 조항이 들어가 있다면, 의뢰자가 직접 계약을 승인해야 하는데(자동 완료 기능을 사용할 수 없게 됩니다), 이는 해당 조항이 제대로 이행되었는지 자동으로 판단할 수 없기 때문입니다.

자동으로 판단하는 기능이 해제되어 있을 때, 계약자가 계약을 이행했다 판단하고 '계약 완료함' 버튼을 누른다면, 계약의 완성도에 따라 의뢰자가 계약을 완료하거나 반려할 수 있습니다. '자동 완료' 기능을 사용하지 않은 계약은 주민들 간의 신뢰가 매우 중요하게 작용하는데, 그 이유는 바로 의뢰자가 작업의 완성도를 정직하게 판단할 거라는 확신이 없기 때문입니다. 그런 상황들 때문에 주민들은 서로의 [Reputation]을(를) 확인의 척도로 사용하는 것을 추천합니다.

계약을 게시할 때 기한을 설정할 수 있는데, 계약자는 그 기간 안에 완료해야만 합니다. 추가로, 계약에서 반복 횟수를 설정할 수 있는 기능이 있는데, 이를 활성화하면, 계약이 완료될 때마다 반복 횟수가 하나씩 줄어들며 다시 재계약을 할 수 있게 됩니다.

계약이 진행 중 해당 계약에 걸려있는 대금의 경우 특별한 보관 [Bank Account|Bank Accounts]를 통해 보관됩니다. 계약이 완벽히 완료된다면, 그 대금은 계약자에게로 지급되고, 실패할 경우 의뢰자에게로 다시 반환됩니다. 계약자가 낸 보증금 또한, 보관하여 계약이 성공할 시 다시 계약자에게로, 실패할 경우 의뢰자에게 지급됩니다.
7;동업자
8;[Work Parties] 또한 계약 게시판에서 게시 할 수 있는데, 당사자 둘만의 계약이 아닌, 여러 주민과 같이 협업하여 완료 할 수 있는 계약입니다. 동업 계약을 게시하기 전, 게시하는 사람의 소유인 작업대에서 미리 작업을 주문해두어야만 합니다.

동업 계약이 게시되면, 노동자는 계약 게시판에서 해당 작업에 참여할 수 있습니다. 동업 계약에 들어온 모두가 처음엔 노동자 역할을 배정받지만, 각각의 역할에 알맞은 조건과 해당 작업에 참여하는 주민들의 조건을 직접 설정 할 수 있습니다. '가득 차면 자동으로 역할 칸을 추가'를 체크 표시 하면, 역할 칸이 모두 차고 난 후 새로운 노동자가 참여시 자동으로 역할 칸을 추가합니다.

작업에 필요한 역할을 설정할 때, 동업 계약의 계약서에서 노동력이 필요한지, 재료를 수급해야 할지, 두 가지 다 필요한지 설정 할 수 있습니다. 작업에 참여하는 주민 누구나 기여한 정도에 따라서 보상을 나누어 받게 됩니다. 특정 직업의 가치를 높게 설정하게 된다면, 해당 직업은 보상의 비율이 높게 책정됩니다.
9;동업 계약에는 다양한 방법의 보상 지급 방법이 있는데, 다양한 방법 중 보상을 지급할 방식을 게시자가 직접 고를 수 있습니다.

- [Currency]를 보상으로 받게 될 경우, 계약이 끝날 때 본인이 기여한 만큼의 대금을 일시불로 지급받는 '화폐로 지급' 옵션이 있습니다.

- [Reputation]을 보상으로 받게 될 경우, 계약이 끝난 후 작업을 도와준 모든 주민에게 나누어 지급됩니다.

- [Research]에 관련된 보상을 받게 될 경우, 제시한 만큼 작업에 기여를 한다면 계약이 끝난 후 즉시 기술이 해금됩니다. 연구에 관련된 보상은 동업 계약의 작업이 기술 책인 경우 또는, 동업 계약의 목표가 다른 이의 인벤토리 안 기술 책인 경우에만 가능합니다.

- [Title|Titles]를 부여받는 것이 보상일 경우, 해당 계약의 게시자가 부여하려는 직위의 관리자일 경우만 계약을 게시할 수 있습니다. 계약에 설정되어있는 최소한의 작업을 수행한다면 해당 직위가 부여됩니다. 직위의 '권한 유형'에는 동업자가 직위 관리자가 될지, 직위 사용자가 될지 정할 수 있습니다.
10;계약 게시판 요소가 포함된다면 주민들이 계약과 동업 계약을 게시하거나 수락할 수 있습니다
11;크레딧 요소는 주민들이 소유한 다양한 구조물에서 거래하거나 거래에 필요한 화폐와 은행계좌를 설정하는 곳에 포함되어 있습니다.
12;주민들이 [Bank Accounts]를 설정할 때, 접근 권한을 가진 계좌라면 무엇이든 선택할 수 있습니다([Bank Component]가 포함된 곳에서 설정 가능합니다). 기본값으로, 주민 자신의 개인 계좌가 선택되어 있습니다.

세계에 존재하는 모든 [Currencies|Currency]는 크레딧 요소에서 설정할 수 있습니다. 바로 이 크레딧을 이용하여 화폐를 사용하는 모든 구조물에서 거래를 수행할 수 있습니다(그 예시로 [Store|Store Component]에선 어떤 종류의 화폐가 되었든 설정할 수 있습니다).

만약 상점의 화폐를 '없음'으로 선택해 둔다면, 화폐를 이용하지 않고 물물 교환을 할 수 있습니다.

[Crafting Component]가 포함되어 있는 구조물은 소유 중인 주민이 사용료를 설정할 수 있습니다. 얼마만큼의 요금을 부과할 건지와 어떤 계좌로 그 요금이 입금되게 할 것인지 설정 화면에서 관리 할 수 있습니다.
13;크레딧 요소는 주민들이 은행 계좌를 개설하거나 화폐를 이용하는 모든 거래와 관련된 구조물에 포함됩니다.
14;증서 판매 요소는 주민들이 [Property]를 구매 또는 판매와 관련된 것에 포함됩니다.
15;주민들은 [Real Estate Desk|Real Estate Desk Item]에 이용하여, 자신이 가지고 있는 증서의 카탈로그를 생성하거나 다른 주민들의 카탈로그를 확인할 수 있습니다. 생성되어 있는 모든 증서의 카탈로그는 모든 부동산 가판대에서 확인하실 수 있습니다.

